City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
125,Reconquista,AR,-29.15,-59.65,54.34,58,89,8.08,overcast clouds,2021-08-03 23:04:28
126,Taoudenni,ML,22.6783,-3.9836,103.17,18,39,9.15,scattered clouds,2021-08-03 23:04:28
127,Orumiyeh,IR,37.5527,45.0761,70.83,44,62,3.74,broken clouds,2021-08-03 23:04:29
128,Mahebourg,MU,-20.4081,57.7,68.5,70,1,10.4,clear sky,2021-08-03 23:01:06
129,Bollnas,SE,61.3482,16.3946,43.39,65,26,2.59,scattered clouds,2021-08-03 23:04:29
130,Lorengau,PG,-2.0226,147.2712,83.48,76,28,5.88,scattered clouds,2021-08-03 23:04:29
131,Ekibastuz,KZ,51.6667,75.3667,67.73,51,90,9.4,overcast clouds,2021-08-03 23:04:30
132,Mount Gambier,AU,-37.8333,140.7667,51.03,93,59,10.38,broken clouds,2021-08-03 23:04:30
133,Husavik,IS,66.0449,-17.3389,51.51,85,88,3.22,overcast clouds,2021-08-03 23:04:30
134,Novaya Igirma,RU,57.1334,103.9112,62.33,71,98,1.32,overcast clouds,2021-08-03 23:04:30
135,Constitucion,CL,-35.3333,-72.4167,51.98,80,5,1.83,clear sky,2021-08-03 23:04:31
136,Porto Nacional,BR,-10.7081,-48.4172,78.8,30,0,3.33,clear sky,2021-08-03 23:04:31
137,Kikwit,CD,-5.041,18.8162,75.72,25,32,0.89,scattered clouds,2021-08-03 23:04:31
138,Manokwari,ID,-0.8667,134.0833,79.03,79,98,2.64,light rain,2021-08-03 23:04:32
139,Arraial Do Cabo,BR,-22.9661,-42.0278,68.29,75,64,14.63,broken clouds,2021-08-03 23:01:53
140,Alofi,NU,-19.0595,-169.9187,78.69,57,40,9.22,scattered clouds,2021-08-03 23:04:32
141,Miri,MY,4.4148,114.0089,77.04,78,100,3.69,overcast clouds,2021-08-03 23:02:43
142,Tiksi,RU,71.6872,128.8694,44.29,76,93,9.31,overcast clouds,2021-08-03 23:04:32
143,Cabatuan,PH,10.8794,122.486,80.74,82,100,7.85,overcast clouds,2021-08-03 23:04:32
144,Vila Franca Do Campo,PT,37.7167,-25.4333,72.01,90,58,4.43,broken clouds,2021-08-03 23:04:33
145,East London,ZA,-33.0153,27.9116,67.05,25,0,7.07,clear sky,2021-08-03 23:04:33
146,Pionerskiy,RU,54.9508,20.2275,57.04,64,77,0.16,broken clouds,2021-08-03 23:04:33
147,Richards Bay,ZA,-28.783,32.0377,64.4,75,0,17.05,clear sky,2021-08-03 23:04:34
148,Port Macquarie,AU,-31.4333,152.9167,60.89,48,0,11.77,clear sky,2021-08-03 23:04:34
149,San Pedro,PH,14.35,121.0167,82.35,80,100,11.74,overcast clouds,2021-08-03 23:04:34
150,Centralia,US,46.7162,-122.9543,89.44,49,1,9.22,clear sky,2021-08-03 23:03:19
151,Visnes,NO,59.3556,5.2242,55.81,82,61,4.61,broken clouds,2021-08-03 23:04:34
152,Chifeng,CN,42.2683,118.9636,68.92,88,100,5.03,light rain,2021-08-03 23:04:35
153,Mao,ES,39.8885,4.2658,72.16,78,0,3.44,clear sky,2021-08-03 23:04:35
154,Lompoc,US,34.6391,-120.4579,89.02,71,1,8.01,clear sky,2021-08-03 23:00:46
155,Teluk Intan,MY,4.0259,101.0213,73.38,96,56,1.97,broken clouds,2021-08-03 23:04:35
156,Mount Isa,AU,-20.7333,139.5,55.17,38,20,12.66,few clouds,2021-08-03 23:04:36
157,Santa Maria,BR,-29.6842,-53.8069,50.27,82,7,3.89,clear sky,2021-08-03 23:04:14
158,Kiunga,PG,-6.1219,141.2906,76.26,90,94,2.8,overcast clouds,2021-08-03 23:04:36
159,Paoua,CF,7.2427,16.4406,67.68,96,98,4.38,overcast clouds,2021-08-03 23:04:36
160,Zyryanka,RU,65.75,150.85,48.92,44,96,22.08,overcast clouds,2021-08-03 23:04:37
161,Aklavik,CA,68.2191,-135.0107,60.17,40,9,5.3,clear sky,2021-08-03 23:04:37
162,Kodinar,IN,20.7903,70.7031,80.89,85,100,18.41,overcast clouds,2021-08-03 23:04:37
163,Petatlan,MX,17.5167,-101.2667,91.2,67,57,6.24,broken clouds,2021-08-03 23:04:37
164,Pahrump,US,36.2083,-115.9839,107.83,11,5,5.99,clear sky,2021-08-03 23:04:38
165,Pangnirtung,CA,66.1451,-65.7125,50.58,76,99,3.47,overcast clouds,2021-08-03 23:04:38
166,Lebu,CL,-37.6167,-73.65,50.65,91,19,10.27,few clouds,2021-08-03 23:00:08
167,Krasyliv,UA,49.6519,26.9725,58.06,69,10,2.8,clear sky,2021-08-03 23:04:38
168,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,72.63,89,45,9.51,scattered clouds,2021-08-03 23:04:39
169,Mogadishu,SO,2.0371,45.3438,76.23,86,100,16.04,overcast clouds,2021-08-03 23:04:39
170,Terrace,CA,54.5163,-128.6035,61.43,97,100,0.74,light rain,2021-08-03 23:04:39
171,Warin Chamrap,TH,15.1932,104.8628,76.46,92,100,9.98,moderate rain,2021-08-03 23:04:39
172,Kajaani,FI,64.2273,27.7285,51.85,76,90,16.11,overcast clouds,2021-08-03 23:04:40
173,Mwene-Ditu,CD,-7.0,23.45,70.7,33,0,4.63,clear sky,2021-08-03 23:04:40
174,Kathmandu,NP,27.7167,85.3167,70.02,100,75,3.44,light rain,2021-08-03 23:03:12
175,Ugoofaaru,MV,5.6667,73.0,82.04,76,96,7.83,overcast clouds,2021-08-03 23:04:40
176,Finschhafen,PG,-6.6024,147.8681,81.86,75,30,7.54,scattered clouds,2021-08-03 23:04:41
177,Cherskiy,RU,68.75,161.3,44.78,75,74,12.86,broken clouds,2021-08-03 23:04:41
178,Ayan,RU,56.45,138.1667,53.71,78,99,2.46,overcast clouds,2021-08-03 23:04:41
179,Egvekinot,RU,66.3167,-179.1667,44.76,99,100,5.1,light rain,2021-08-03 23:04:42
180,Bulgan,MN,48.8125,103.5347,53.15,87,100,4.23,overcast clouds,2021-08-03 23:04:42
181,Sawakin,SD,19.1059,37.3321,92.91,51,63,11.68,broken clouds,2021-08-03 23:04:42
182,Waipawa,NZ,-41.4122,175.5153,47.44,62,61,13.67,broken clouds,2021-08-03 23:04:43
183,Fengcheng,CN,40.4536,124.0717,72.9,95,97,3.62,overcast clouds,2021-08-03 23:04:43
184,Nidamangalam,IN,10.7717,79.4145,81.32,61,81,10.63,broken clouds,2021-08-03 23:04:43
185,Nelson Bay,AU,-32.7167,152.15,56.75,58,0,5.01,clear sky,2021-08-03 23:04:43
186,Agirish,RU,61.9247,63.0231,62.76,71,99,3.78,overcast clouds,2021-08-03 23:04:44
